url,pubdate_guess
https://444.hu/2025/11/02/nem-az-oceans-eleven-tagjai-raboltak-ki-louvre-t,2025-11-02
https://444.hu/2025/11/02/attol-felnek-a-dunakanyarban-hogy-ha-a-ner-mar-elfoglalta-a-balatont-ok-johetnek-a-sorban,2025-11-02
https://444.hu/2025/11/02/az-amerikai-kormany-nigeriai-katonai-beavatkozast-keszit-elo,2025-11-02
https://444.hu/2025/11/02/80-ezer-forintert-toboroz-karacsony-gergely-szavazatszamlalokat-budapestre,2025-11-02
https://444.hu/2025/11/02/gyereknek-kinezo-szexbabak-miatt-jelentetek-fel-a-sheint-franciaorszagban,2025-11-02
https://444.hu/2025/11/02/ot-nemet-turistat-sodort-el-lavina-az-olasz-alpokban-pedig-nem-volt-kifejezett-lavinaveszely,2025-11-02
https://444.hu/2025/11/02/belga-vedelmi-miniszter-helikopterrel-uldoztek-az-azonositatlan-dront-a-belga-katonai-bazis-folott,2025-11-02
https://444.hu/2025/11/02/ket-brit-allampolgar-keselt-a-vonaton-angliaban-egyelore-semmi-nem-utal-terrorcselekmenyre,2025-11-02
https://444.hu/2025/11/02/irani-elnok-a-nuklearis-letesitmenyeket-ujjaepitjuk-es-meg-jobbak-is-lesznek-mint-korabban,2025-11-02
https://444.hu/2025/11/02/hanko-balazs-a-debreceni-egyetemen-hidd-el-nem-jo-azt-olvasni-hogy-hanko-bunko-balazs-jon-ide-forumot-tartani,2025-11-02
https://444.hu/2025/11/02/dohanygyar6-gazmaffia-korhintacsalasok-es-ami-ciki-lehet-a-nav-nak,2025-11-02
https://444.hu/2025/11/02/igy-emlekeztek-budapesten-az-ujvideki-tragedia-evfordulojan-azok-a-magyar-fiatalok-akiket-kitiltottak-szerbiabol,2025-11-02
https://444.hu/2025/11/02/a-fovaros-vitezy-javaslatara-megkiserli-eltakaritani-a-rusnya-telefonfulkeket,2025-11-02
https://444.hu/2025/11/02/ujra-lesz-forrodrot-az-amerikai-es-a-kinai-hadsereg-kozott,2025-11-02
https://444.hu/2025/11/02/sajat-keszitesu-kismeretu-bombakkal-terrorizalta-a-szomszedjat-a-nagykorosi-ferfi,2025-11-02
https://444.hu/2024/11/30/a-gruz-elnok-nem-hajlando-lemondani-a-gruz-alom-szerint-forradalmat-szit-az-ellenzek,2024-11-30
https://444.hu/2024/11/30/sziria-kozepso-resze-fele-nyomulnak-elore-a-fegyveres-lazadok,2024-11-30
https://444.hu/2024/11/30/a-lekoszono-roman-elnok-szerint-a-valasztas-tetje-hogy-romania-ne-sullyedjen-toxikus-elszigeteltsegbe,2024-11-30
https://444.hu/2024/11/30/a-nemzeti-szelsojobb-2024-es-sikere-toroczkai-laszlo-ujra-felregisztralt-a-facebookra,2024-11-30
https://444.hu/2024/11/30/nem-vicc-onalloan-indul-az-ketfarku-kutya-part-a-2026-os-orszaggyulesi-valasztason,2024-11-30
https://444.hu/2024/11/30/visszatert-a-nyolcvanas-evek-gyilkos-balna-divatja-stilusos-doglott-lazacsapkaban-pozolnak-a-tengeri-divak,2024-11-30
https://444.hu/2024/11/30/ket-gyanusitottat-mar-azonositottak-az-eszaki-aramlat-felrobbantasa-ugyeben,2024-11-30
https://444.hu/2024/11/30/fidesz-forumokkal-es-tisza-gyulesekkel-robbant-ra-az-orszagra-a-26-os-kampany,2024-11-30
https://444.hu/2024/11/30/csak-ket-font-karteritest-kap-az-ember-aki-talalt-egy-sima-mars-szeletet,2024-11-30
https://444.hu/2024/11/30/kerkez-a-kapus-szeme-koze-bikazta-elete-elso-premier-league-goljat,2024-11-30
https://444.hu/2024/11/30/eszak-koreai-kilatassal-nyitja-meg-a-starbucks-a-legujabb-kavezojat,2024-11-30
https://444.hu/2024/11/30/orban-jovo-heten-talalkozik-a-papaval,2024-11-30
https://444.hu/2024/11/30/valtozo-vadon-csodalatos-bubanatos-termeszetfilm-keszult-a-legszomorubb-allatrol-vagyis-az-aparol-akitol-elkoltoznek-a-gyerekei,2024-11-30
https://444.hu/2024/11/30/a-baratsag-koolajvezetek-elleni-terrortamadasra-figyelmeztetnek-a-szlovakok,2024-11-30
https://444.hu/2024/11/30/forradalmi-jelenetek-a-volt-al-kaidas-lazadok-altal-elfoglalt-aleppoban,2024-11-30
https://444.hu/2024/12/31/az-ev-utolso-napjan-negyven-uj-jogszabalyt-tett-kozze-a-kormany-koztuk-van-a-szemelyi-igazolvany-es-az-utlevel-uj-ara-is,2024-12-31
https://444.hu/2024/12/31/egy-koltsegvetesi-tetelbol-ugy-tunik-mintha-elorehozott-valasztasra-keszulne-a-kormany,2024-12-31
https://444.hu/2024/12/31/kubatov-szerint-is-nagyon-rosszul-mutat-hogy-a-ferencvaros-felevente-edzot-cserel-de-arra-buszke-hogy-mennyi-penzt-kaptak-pascal-jansenert,2024-12-31
https://444.hu/2024/12/31/kiadtak-az-egyesult-allamoknak-a-del-koreai-kriptokiralyt-aki-48-ora-alatt-15-900-milliard-forintnyi-dollaros-kart-okozott,2024-12-31
https://444.hu/2024/12/31/hszi-csin-ping-senki-sem-allithatja-meg-kina-es-tajvan-ujraegyesiteset,2024-12-31
https://444.hu/2024/12/31/gyilkossag-csepelen-egy-no-a-sajat-anyjat-olhette-meg,2024-12-31
https://444.hu/2024/12/31/iden-is-eljott-az-a-pillanat-amikor-racsodalkozhatunk-hogy-egy-nap-26-orabol-all,2024-12-31
https://444.hu/2024/12/31/lelottek-egy-ferfit-nemetorszagban-aki-ellopott-egy-kotrogepet-majd-egy-jarorautonak-hajtva-sulyosan-megsebesitett-egy-rendort,2024-12-31
https://444.hu/2024/12/31/az-orosz-hadsereg-terveket-dolgozott-ki-egy-japan-es-del-korea-elleni-haborura,2024-12-31
https://444.hu/2024/12/31/tenyleg-vege-a-brangelina-sztorinak-angelina-jolie-es-brad-pitt-megegyeztek-a-valasrol,2024-12-31
https://444.hu/2024/12/31/tavozik-a-fovarosi-kozgyulesbol-egy-fideszes-kepviselo,2024-12-31
https://444.hu/2024/12/31/putyin-2025-ben-oroszorszag-elore-megy,2024-12-31
https://444.hu/2024/12/31/orakon-belul-megszunhet-az-orosz-ukrajnan-keresztuli-gazszallitas-europaba-a-gazprom-maris-csokkentette-az-itt-erkezo-gaz-mennyiseget,2024-12-31
https://444.hu/2024/12/31/del-koreai-repulogep-szerencsetlenseg-a-gep-repules-elotti-atvizsgalasa-nem-talalt-semmilyen-hibat-tovabbra-is-megoldatlan-a-legnagyobb-rejtely,2024-12-31
https://444.hu/2024/12/31/az-ev-utolso-napjan-is-trukkoznek-egyet-varga-mihalyek-az-allamadossaggal,2024-12-31
https://444.hu/2025/01/31/a-kormany-egy-azonnal-hatalyba-lepo-rendelettel-2029-ig-befagyasztotta-a-napelemesektol-atvett-aram-arat,2025-01-31
https://444.hu/2025/01/31/kulugyminisztere-szerint-trump-nem-viccel-tenyleg-meg-akarja-venni-gronlandot,2025-01-31
https://444.hu/2025/01/31/odessza-tortenelmi-belvarosat-lottek-az-oroszok,2025-01-31
https://444.hu/2025/01/31/trump-bejelentette-hogy-holnaptol-10-25-os-vamokat-vet-ki-kinara-mexikora-es-kanadara,2025-01-31
https://444.hu/2025/01/31/az-igazszagszolgaltatast-a-politika-ala-gyuro-minisztert-rendorok-vittek-el-a-jobboldal-propagandatevejebol,2025-01-31
https://444.hu/2025/01/31/egy-11-eves-fiut-is-elkaptak-a-bombariadok-miatt,2025-01-31
https://444.hu/2025/01/31/beomlott-a-balatonlellei-mentoallomas-fala,2025-01-31
https://444.hu/2025/01/31/a-legujabb-rakosrendezoi-kommentje-utan-letiltottak-lazar-janos-facebook-oldalarol-vitezy-davidot,2025-01-31
https://444.hu/2025/01/31/mini-dubaj-kisertetiesen-emlekeztet-trump-40-evvel-ezelotti-kudarcba-fult-almara,2025-01-31
https://444.hu/2025/01/31/kiss-ambrus-szerint-ha-a-garancsi-fele-ceg-is-el-az-elovasarlasi-jogaval-akkor-fele-fele-aranyban-reszesednenek-rakosrendezobol,2025-01-31
https://444.hu/2025/01/31/magyar-peter-kiposztolta-hogy-jogerosen-buntetopert-nyert-kubatov-ellen-aki-erre-egy-olyan-birosagi-meghagyassal-valaszolt-ami-egy-masik-per-resze,2025-01-31
https://444.hu/2025/01/31/elkaptak-egy-fiatalt-aki-negy-iskolaba-kuldott-fenyegeto-levelet,2025-01-31
https://444.hu/2025/01/31/ujsagirok-ellen-kemkedett-egy-izraeli-app-a-whatsappon-keresztul,2025-01-31
