url,pubdate_guess
https://444.hu/2025/10/31/a-mav-mar-azt-sem-tudja-garantalni-hogy-elegendo-kocsival-indulnak-el-a-vonatok,2025-10-31
https://444.hu/2025/10/31/egyiptomba-utazik-orban-viktor,2025-10-31
https://444.hu/2025/10/31/trump-orban-felmentest-kert-az-orosz-olajra-vonatkozo-szankciok-alol-de-mi-nem-adtuk-meg-neki,2025-10-31
https://444.hu/2025/10/31/harom-ferfi-felvaltva-eroszakolt-meg-egy-18-eves-not-szegeden,2025-10-31
https://444.hu/2025/10/31/dontott-a-pentagon-ukrajna-megkaphatja-a-tomahawk-raketakat-mar-csak-trumpon-mulik-minden,2025-10-31
https://444.hu/2025/10/31/bepanikoltak-a-szlovakok-hogy-megbuntethetik-oket-ha-futnak-a-busz-utan,2025-10-31
https://444.hu/2025/10/31/orban-ezuttal-is-felkerult-a-sajtoszabadsag-ellensegeinek-feketelistajara,2025-10-31
https://444.hu/2025/10/31/vege-a-20-fokoknak-jovo-heten-bejelentkezik-az-esos-hideg,2025-10-31
https://444.hu/2025/10/31/foldhoz-vagta-siro-kisfiat-14-ev-fegyhazat-kapott-elso-fokon-a-pecsi-no,2025-10-31
https://444.hu/2025/10/31/beragadt-a-kamion-a-sorompok-koze-a-nagy-sebesseggel-erkezo-vonat-kortebombat-csinalt-a-rakomanybol,2025-10-31
https://444.hu/2025/10/31/lukasenko-most-azt-allitja-roman-protaszevics-nem-ellenzeki-ujsagiro-aktivista-hanem-feherorosz-hirszerzo-volt,2025-10-31
https://444.hu/2025/10/31/leallt-a-teljes-vasuti-kozlekedes-szerbiaban-bombariado-miatt,2025-10-31
https://444.hu/2025/10/31/trump-miniszterelnoke-akit-egyszerre-hasonlitanak-goebbelshez-es-sztalinhoz,2025-10-31
https://444.hu/2025/10/31/rejtett-kamerakon-keresztul-kukkolta-a-foberlo-ahogy-furdenek-a-berloi,2025-10-31
https://444.hu/2025/10/31/a-het-legidiotabb-politikai-balheja-joy-division-polo-miatt-vadoljak-antiszemitizmussal-az-ausztral-miniszterelnokot,2025-10-31
https://444.hu/2025/09/30/az-nhl-tortenetenek-legnagyobb-osszegu-szerzodeset-kototte-kirill-kaprizovval-a-minnesota-wild,2025-09-30
https://444.hu/2025/09/30/az-olasz-haditengereszet-megszakitja-annak-a-nemzetkozi-flottillanak-a-kiseretet-amivel-greta-thunberg-is-gazaba-tart,2025-09-30
https://444.hu/2025/09/30/afganisztan-elsotetult-a-talib-vezetes-lelotte-az-internetet-es-ezzel-a-telefonszolgaltatast-is-az-egesz-orszagban,2025-09-30
https://444.hu/2025/09/30/vizes-ruhaik-buktattak-le-a-narko-tengeralattjarot-vezeto-harom-ferfit-akik-zarandoknak-adtak-ki-magukat,2025-09-30
https://444.hu/2025/09/30/az-elszantsag-es-a-mindenen-atgazolo-ero-igy-teremtette-meg-az-azsiai-tuntetesek-jelkepet-egy-japan-animacios-film,2025-09-30
https://444.hu/2025/09/30/bar-az-onkormanyzatnak-semmi-koze-az-szja-hoz-a-gyori-fidesz-attolta-a-tisza-adot-elitelo-az-allasfoglalasat,2025-09-30
https://444.hu/2025/09/30/eloszor-sikerult-emberi-borsejt-dns-ebol-megtermekenyitett-embriot-letrehozni,2025-09-30
https://444.hu/2025/09/30/lemond-a-spotify-alapitoja-daniel-ek-a-vezerigazgatoi-posztjarol,2025-09-30
https://444.hu/2025/09/30/lazar-szerint-magyar-peter-szemelyesen-intezte-el-hogy-a-mav-ne-kapja-meg-az-1-milliard-euros-hitelt-a-tisza-elnoke-szerint-a-miniszter-vegleg-meghibbant,2025-09-30
https://444.hu/2025/09/30/sok-sok-csillag-egy-szobaban-vilag-minden-tajarol-hazarangatott-tabornokoknak-tartott-maga-gyorstalpalot-az-amerikai-vedelmi-miniszter,2025-09-30
https://444.hu/2025/09/30/holtan-talaltak-a-del-afrikai-nagykovetet-egy-parizsi-szalloda-elott,2025-09-30
https://444.hu/2025/09/30/a-kreml-szerint-odessza-csatlakozni-akar-oroszorszaghoz,2025-09-30
https://444.hu/2025/09/30/csehorszag-nem-fogja-beengedni-a-teruletere-az-orosz-diplomata-utlevellel-rendelkezoket,2025-09-30
https://444.hu/2025/09/30/trump-a-hamasznak-harom-negy-napja-van-valaszolni-a-gazai-tervre,2025-09-30
https://444.hu/2025/09/30/orban-tusknak-lehet-hogy-on-ugy-gondolja-hogy-haboruban-all-oroszorszaggal-de-magyarorszag-nem,2025-09-30
https://444.hu/2025/08/31/egy-uj-kutatas-szerint-megtalaltak-a-gyogyszert-ami-hatekonyabban-elozi-meg-a-szivrohamot-mint-az-aszpirin,2025-08-31
https://444.hu/2025/08/31/valtozekony-idojarassal-indul-az-iskolakezdes,2025-08-31
https://444.hu/2025/08/31/szoboszlai-30-meteres-boduletes-szabadrugasgoljaval-nyert-a-liverpool-az-arsenal-ellen,2025-08-31
https://444.hu/2025/08/31/norvegia-4700-millard-forint-ertekben-rendel-hadihajokat-az-egyesult-kiralysagtol,2025-08-31
